text,intent
mau leave cancellation dong,leave_cancellation
mau batal cuti tanggal 2 mei 2019,leave_cancellation
gw mau cancel cuti,leave_cancellation
batalkan cuti pada tanggal 2 sampai 3 maret 2018,leave_cancellation
batal cuti 3 maret ke 5 maret 2018,leave_cancellation
ajukan pembatalan leave,leave_cancellation
ajukan leave cancellation,leave_cancellation
ajukan pembatalan cuti,leave_cancellation
aku mau membatalkan cuti,leave_cancellation
cancel leave tanggal 31 maret 2018,leave_cancellation
aku mau membatalkan cuti pada tanggal 2 maret 2018 sampai 3 desember 2018,leave_cancellation
aku mau membatalkan cuti dari 2 maret 2018 - 3 desember 2018,leave_cancellation
cancel leave tanggal 3 sampai 30 desember 2018,leave_cancellation
cancel leave 10 - 20 maret,leave_cancellation
cancel leave dong,leave_cancellation
batal cuti 1-2 september 2018,leave_cancellation
batalkan cuti tanggal 9,leave_cancellation
batal cuti 9 maret 2018,leave_cancellation
cancel cuti dong,leave_cancellation
batalkan cuti,leave_cancellation
cancel leave 1-2 juli 2018,leave_cancellation
cancel leave tanggal 10-20 juli 2018,leave_cancellation
batal lembur 1 sampai 12 oktober,overtime_cancellation
mau cancel overtime tanggal 1 januari 2018 sampai besok,overtime_cancellation
aku mau membatalkan lembur dari tanggal 2 maret 2018 sampai 3 desember 2018,overtime_cancellation
mau cancel overtime,overtime_cancellation
mau cancel lembur,overtime_cancellation
batal lembur tanggal 24 aja ya,overtime_cancellation
"batalkan lembur pada tanggal 2, 3, dan 10 maret 2018",overtime_cancellation
batal lembur 3 januari dan 4 januari,overtime_cancellation
pembatalan overtime,overtime_cancellation
pembatalan lembur,overtime_cancellation
overtime cancellation dong,overtime_cancellation
mau batal lembur dong,overtime_cancellation
mau batal overtime dong,overtime_cancellation
batalin lembur,overtime_cancellation
batalin overtime,overtime_cancellation
batal overtime,overtime_cancellation
batal lembur,overtime_cancellation
tanggal 10 - 11 desember 2019,leave_cancellation_approved_ask_date
tanggal 10-11 desember 2019,leave_cancellation_approved_ask_date
2 September 2019 sampai 4 September 2019,leave_cancellation_approved_ask_date
tanggal 1 September 2019 sampai dengan 5 September 2019,leave_cancellation_approved_ask_date
1 September 2019 - 5 September 2019,leave_cancellation_approved_ask_date
tanggal 1 September 2019 sampai 5 September 2019,leave_cancellation_approved_ask_date
tanggal 1 September 2019,leave_cancellation_approved_ask_date
belum disetujui,leave_cancellation_ask_approval_status
sudah disetujui,leave_cancellation_ask_approval_status
telah disetujui,leave_cancellation_ask_approval_status
tidak,absence_cancellation_ask_confirmation
ga,absence_cancellation_ask_confirmation
ya,absence_cancellation_ask_confirmation
tidak,leave_cancellation_ask_confirmation
ya,leave_cancellation_ask_confirmation
ya,overtime_cancellation_ask_confirmation
ga,overtime_cancellation_ask_confirmation
tidak,overtime_cancellation_ask_confirmation
"99,100,101,102,103",leave_cancellation_ask_number
"99,100,101,102",leave_cancellation_ask_number
"99,100,101",leave_cancellation_ask_number
"99, 100, 101, 102, dan 103",leave_cancellation_ask_number
"99, 100, 101, 102, 103",leave_cancellation_ask_number
"99,100",leave_cancellation_ask_number
"99, 100, 101, dan 102",leave_cancellation_ask_number
"99, 100, dan 101",leave_cancellation_ask_number
99 dan 100,leave_cancellation_ask_number
satu,leave_cancellation_ask_number
no 99,leave_cancellation_ask_number
99 deh,leave_cancellation_ask_number
nomor 99 ya,leave_cancellation_ask_number
aku pilih 99,leave_cancellation_ask_number
"99, 100, 101, 102, dan 103",absence_cancellation_ask_parameter
"99,100,101,102,103",absence_cancellation_ask_parameter
"99,100,101,102",absence_cancellation_ask_parameter
"99,100,101",absence_cancellation_ask_parameter
"99,100",absence_cancellation_ask_parameter
"99, 100, 101, 102, 103",absence_cancellation_ask_parameter
"99, 100, 101, dan 102",absence_cancellation_ask_parameter
1 januari 2019 - 30 juni 2019,absence_cancellation_ask_parameter
tanggal 1 maret dan 2 maret ya,absence_cancellation_ask_parameter
tanggal 10 maret sampai 20 maret ya,absence_cancellation_ask_parameter
mulai 3 april ke 7 april ya,absence_cancellation_ask_parameter
tanggal 4 aja deh,absence_cancellation_ask_parameter
"tanggal 23 mei 2018, 24 mei 2018, dan 25 mei 2018",absence_cancellation_ask_parameter
tanggal 13 dan tanggal 14 ya,absence_cancellation_ask_parameter
dari 10 desember 2018 - 20 desember 2018,absence_cancellation_ask_parameter
sepuluh maret 2018,absence_cancellation_ask_parameter
99 deh,absence_cancellation_ask_parameter
99 dan 100,absence_cancellation_ask_parameter
satu,absence_cancellation_ask_parameter
"99, 100, dan 101",absence_cancellation_ask_parameter
nomor 99 ya,absence_cancellation_ask_parameter
aku pilih 99,absence_cancellation_ask_parameter
99,absence_cancellation_ask_parameter
sepuluh maret 2018,overtime_cancellation_ask_parameter
dari 10 - 20 desember 2019,overtime_cancellation_ask_parameter
sembilan sampai sepuluh maret 2018,overtime_cancellation_ask_parameter
tanggal 13 dan tanggal 14 ya,overtime_cancellation_ask_parameter
tanggal 20 - 31 mei,overtime_cancellation_ask_parameter
"tanggal 23 mei 2018, 24 mei 2018, dan 25 mei 2018",overtime_cancellation_ask_parameter
20 - 30 maret 2018,overtime_cancellation_ask_parameter
tanggal 4 aja deh,overtime_cancellation_ask_parameter
mulai 3 ke 7 april ya,overtime_cancellation_ask_parameter
tanggal 10 maret sampai 20 maret ya,overtime_cancellation_ask_parameter
"99, 100, 101, 102, dan 103",overtime_cancellation_ask_parameter
"99,100,101,102,103",overtime_cancellation_ask_parameter
"99,100,101,102",overtime_cancellation_ask_parameter
"99,100,101",overtime_cancellation_ask_parameter
"99, 100, 101, 102, 103",overtime_cancellation_ask_parameter
"99,100",overtime_cancellation_ask_parameter
"99, 100, 101, dan 102",overtime_cancellation_ask_parameter
tanggal 1 maret dan 2 maret ya,overtime_cancellation_ask_parameter
aku pilih 99,overtime_cancellation_ask_parameter
nomor 99 ya,overtime_cancellation_ask_parameter
99 deh,overtime_cancellation_ask_parameter
no 99,overtime_cancellation_ask_parameter
"99, 100, dan 101",overtime_cancellation_ask_parameter
sembilan,overtime_cancellation_ask_parameter
99 dan 100,overtime_cancellation_ask_parameter
tau catapa ga?,ask_catapa
catapa tuh apa sih,ask_catapa
apa itu catapa,ask_catapa
selamat sore,ask_claudia
malam,ask_claudia
siang,ask_claudia
/start,ask_claudia
hallo,ask_claudia
apa kabar,ask_claudia
tes,ask_claudia
test,ask_claudia
siapa ya?,ask_claudia
claudia,ask_claudia
hei,ask_claudia
hey,ask_claudia
ini bot?,ask_claudia
halo,ask_claudia
hi,ask_claudia
hai,ask_claudia
saya berbicara dengan siapa?,ask_claudia
hello,ask_claudia
siapa itu claudia?,ask_claudia
siapa ini?,ask_claudia
siapa kamu?,ask_claudia
kantorku dimana ya,ask_company
informasi kantor,ask_company
info kantor,ask_company
berapa sih kodepos kantor?,ask_company
boleh tau no telp kantor?,ask_company
saya mau tau alamat perusahaan dong,ask_company
lokasi kantor di mana,ask_company
lokasi kantor dimana,ask_company
lokasi kantor,ask_company
Apa nama kantor saya?,ask_company
no telepon tempat kerja saya,ask_company
nomor telepon perusahaan,ask_company
nama perusahaan saya apa?,ask_company
nomor telp kantor dong,ask_company
perusahaan saya dimana ya?,ask_company
mau detail data perusahaan dong,ask_company
alamat lengkap perusahaan ini dong,ask_company
detil perusahaan dong,ask_company
minta detil perusahaan,ask_company
telepon perusahaan?,ask_company
nomor telepon perusahaan saya,ask_company
alamat perusahaan saya,ask_company
detail dari company saya,ask_company
apa nama perusahaan gw?,ask_company
mau tau nama perusahaan,ask_company
detail company gw?,ask_company
detail perusahaan saya?,ask_company
mau tau fasilitas kesehatan gigi dong,ask_dental_facility
fasilitas perawatan gigi saya apa ya?,ask_dental_facility
perawatan gigi,ask_dental_facility
fasilitas kesehatan gigi aku dong,ask_dental_facility
tanggal saya join company berapa,ask_employment_detail
tanggal saya masuk kantor tanggal berapa?,ask_employment_detail
pangkat saya apa?,ask_employment_detail
saya level berapa di perusahaan?,ask_employment_detail
apa status saya di perusahaan?,ask_employment_detail
status kepegawaian saya gimana sih,ask_employment_detail
"siang bu, boleh minta data kepegawaian saya?",ask_employment_detail
Mohon informasi job level dan tanggal bergabung saya,ask_employment_detail
Mohon informasi tanggal bergabung saya,ask_employment_detail
Mohon informasi job level saya,ask_employment_detail
Tolong tampilkan informasi kepegawaian saya,ask_employment_detail
"Kalau di sistem, level saya sekarang berapa ya?",ask_employment_detail
Saya mau lihat data kepegawaian saya,ask_employment_detail
Kapan saya mulai join?,ask_employment_detail
Job level saya apa?,ask_employment_detail
Job level saya sekarang apa?,ask_employment_detail
Kapan saya bergabung?,ask_employment_detail
Join date saya kapan?,ask_employment_detail
Saya join tanggal berapa ya?,ask_employment_detail
Saya join tanggal berapa?,ask_employment_detail
tanggal join saya,ask_employment_detail
cek status kepegawaian,ask_employment_detail
Bagaimana status kepegawaian saya sekarang?,ask_employment_detail
apa detail informasi kepegawaian saya?,ask_employment_detail
jabatan saya,ask_employment_detail
pangkat saya,ask_employment_detail
kapan tanggal saya bergabung,ask_employment_detail
kapan tanggal bergabung saya?,ask_employment_detail
job level saya apa ya?,ask_employment_detail
aku mau tau job level,ask_employment_detail
job level aku dong,ask_employment_detail
mau cuti 11 feb-14,leave_entry
mau cuti 12-14 februari 2020,leave_entry
mau cuti 11 feb - 14,leave_entry
mau cuti 12 - 14 februari 2020,leave_entry
ambil cuti,leave_entry
ambil cuti dong,leave_entry
saya mau ambil cuti,leave_entry
mau ambil cuti,leave_entry
mau cuti gan 11 januari 2011,leave_entry
mau cuti gan,leave_entry
mengajukan cuti,leave_entry
pengajuan hourly leave,leave_entry
pengajuan annual leave,leave_entry
annual leave,leave_entry
leave,leave_entry
mau cuti 1 januari 2019,leave_entry
Mengajukan cuti untuk 28 Jan 2019,leave_entry
gw cuti ah,leave_entry
leave entry,leave_entry
"gw mau cuti lah, capek",leave_entry
mau cuti dong,leave_entry
mau annual leave dong,leave_entry
cuti tanggal 9 maret,leave_entry
"cuti ya tanggal 1 maret, 2 maret sampai 4 maret 2018",leave_entry
mau cuti dong besok ya,leave_entry
mau cuti satu hari tanggal 24,leave_entry
mau leave,leave_entry
ga jadi deh jadinya cuti aja,leave_entry
"mau cuti tanggal 1 maret, 2 maret, dan 3 maret",leave_entry
Aku mau cuti setengah hari donk,leave_entry
Aku mau cuti besok sama lusa donk,leave_entry
eh ga jadi deh maunya cuti,leave_entry
mau cuti,leave_entry
Aku mau cuti seharian donk besok,leave_entry
Aku mau cuti tanggal 8 September donk,leave_entry
mau cuti dong besok,leave_entry
ga jadi deh maunya cuti,leave_entry
mau cuti tanggal 1 maret 2010 - 2 maret 2020,leave_entry
Aku mau cuti setengah hari besok jam 8 pagi sampai jam 12 siang,leave_entry
saya mau cuti,leave_entry
mau cuti setengah hari tanggal 26 jam 8 sampai jam 10,leave_entry
mau cuti tanggal 12 ya,leave_entry
ajukan leave,leave_entry
ajukan annual leave,leave_entry
ajukan cuti,leave_entry
mau cuti hari ini,leave_entry
Aku mau cuti donk,leave_entry
"mau cuti 10 maret, 12 maret, dan 15 maret",leave_entry
mau cuti 10 maret sampai 12 maret,leave_entry
cuti dong,leave_entry
mau cuti dong besok satu hari,leave_entry
cuti tanggal 1 maret 2010 sampai 3 maret 2010,leave_entry
hari ini cuti ya,leave_entry
gw mau cuti,leave_entry
ya,leave_entry_ask_confirmation
ga,leave_entry_ask_confirmation
tidak,leave_entry_ask_confirmation
11 feb-14,leave_entry_ask_dates
12-14 februari 2020,leave_entry_ask_dates
11 feb - 14,leave_entry_ask_dates
12 - 14 februari 2020,leave_entry_ask_dates
untuk besok,leave_entry_ask_dates
gw cuti untuk tanggal 20 jan 2019,leave_entry_ask_dates
saya cuti untuk tanggal 10 maret,leave_entry_ask_dates
saya cuti tanggal 14 november 2019,leave_entry_ask_dates
cuti tanggal 10 oktober ya,leave_entry_ask_dates
aku mau cuti tiga hari lagi,leave_entry_ask_dates
gw mau cutinya lusa aja,leave_entry_ask_dates
saya mau cuti besok,leave_entry_ask_dates
lusa,leave_entry_ask_dates
1 januari 2019,leave_entry_ask_dates
11 desember - 12 desember deh,leave_entry_ask_dates
tanggal 11 desember - 12 desember 2018,leave_entry_ask_dates
10 Juli sampai 15 Juli,leave_entry_ask_dates
10 Maret 2018 sampai 15 Maret 2018,leave_entry_ask_dates
"4 Juli, 5 Juli, dan 6 Juli",leave_entry_ask_dates
tanggal 13 sampai tanggal 20,leave_entry_ask_dates
tanggal 13 dan tanggal 14,leave_entry_ask_dates
tanggal 12 aja deh,leave_entry_ask_dates
cuti setengah hari 23 maret 2018 jam 4 - 8,leave_entry_ask_dates
besok satu hari ya,leave_entry_ask_dates
tanggal 4 Juli dan 5 Juli,leave_entry_ask_dates
"satu hari saja, 23 desember 2018",leave_entry_ask_dates
tanggal 12 ya,leave_entry_ask_dates
cuti satu hari full tanggal 12 maret,leave_entry_ask_dates
"tanggal 10 Maret, 12 Maret dan 15 Maret",leave_entry_ask_dates
setengah hari besok,leave_entry_ask_dates
hari ini satu hari,leave_entry_ask_dates
"gw mau setengah hari aja ah, hari ini 8 malam - 9 malam",leave_entry_ask_dates
tanggal 28 Juli sampai 29 Juli,leave_entry_ask_dates
setengah hari,leave_entry_ask_leave_type
beberapa jam ya,leave_entry_ask_leave_type
aku mau cutinya beberapa jam aja,leave_entry_ask_leave_type
satu hari,leave_entry_ask_leave_type
beberapa jam dari jam 10 - jam 12,leave_entry_ask_leave_type
setengah hari jam 2 sampai jam 3,leave_entry_ask_leave_type
jam 1 sampai jam 10,leave_entry_half_day_ask_start_time
apa bisa mengajukan cuti kalau cutinya saya udah abis?,ask_exceed_leave_balance_status
saya mau mengajukan cuti tapi saldo saya sudah habis,ask_exceed_leave_balance_status
"Eh ini cuti ku udah habis, bisa tetep ngajuin cuti nggak ya?",ask_exceed_leave_balance_status
"saldo saya habis, tapi mau cuti, gimana yah?",ask_exceed_leave_balance_status
gimana caranya mau cuti kalau saldo dah habis?,ask_exceed_leave_balance_status
"saya mau ajuin cuti, tapi cuti saya udah habis, gimana yah?",ask_exceed_leave_balance_status
Saya ingin mengajukan cuti namun saya tidak memiliki saldo lagi. Apakah bisa mengambil jatah cuti saya di periode depan?,ask_exceed_leave_balance_status
syarat mengajukan cuti jika jatah cuti habis,ask_exceed_leave_balance_status
misalkan jatah cuti saya sudah nol bagaimana?,ask_exceed_leave_balance_status
misalkan cuti saya sudah habis gimana?,ask_exceed_leave_balance_status
kalau jatah cuti saya sudah 0 gimana ya?,ask_exceed_leave_balance_status
lah,default_fallback_intent
mau tau no kk dong,ask_family_card_number
nomor KK gw dong,ask_family_card_number
nomor KK dong,ask_family_card_number
nomor kartu keluarga gue,ask_family_card_number
berapa nomor kartu keluarga saya,ask_family_card_number
nomor kartu keluarga aku dong,ask_family_card_number
healthcare facility,ask_healthcare_facility
fasilitas kesehatan,ask_healthcare_facility
alamat fasilitas kesehatan aku dong,ask_healthcare_facility
fasilitas kesehatan aku dong,ask_healthcare_facility
yes,offer_help
ya,offer_help
ga,offer_help
Tidak,offer_help
mau tau tanggal merah dong,ask_holiday
tanggal merah,ask_holiday
kapan liburan tahun ini?,ask_holiday
daftar hari libur,ask_holiday
mau tau jadwal libur dong,ask_holiday
libur di tahun ini tanggal berapa?,ask_holiday
liburan tanggal berapa aja ya?,ask_holiday
jadwal libur tahun 2020 apa ya?,ask_holiday
jadwal libur tahun 2019,ask_holiday
jadwal libur april 2019,ask_holiday
jadwal libur 2019,ask_holiday
jadwal libur tahun ini,ask_holiday
tampilkan kartu identitas saya,ask_identity_card
mau liat kartu identitas,ask_identity_card
no identity card gw,ask_identity_card
mau tau passport saya dong,ask_identity_card
tolong tampilkan paspor saya,ask_identity_card
no paspor saya dong,ask_identity_card
no ktp saya berapa?,ask_identity_card
nomor ktp saya berapa ya?,ask_identity_card
nomor kartu tanda penduduk dong,ask_identity_card
detail kartu tanda penduduk,ask_identity_card
lembur saya dipotong ga ya kalau datang terlambat?,ask_lateness_deduct_overtime
"kalau datang telat, lembur dipotong?",ask_lateness_deduct_overtime
lateness deduct overtime,ask_lateness_deduct_overtime
"kalau saya terlambat, lembur saya dipotong ga ya?",ask_lateness_deduct_overtime
perpanjang sisa cuti,extend_leave
extend sisa cuti,extend_leave
gimana cara extend cuti?,extend_leave
mau extend cuti dong,extend_leave
panjangin cuti,extend_leave
perpanjang cuti,extend_leave
extend cuti,extend_leave
extend leave,extend_leave
Perpanjangan saldo cuti,extend_leave
Perpanjang saldo cuti,extend_leave
Extend saldo cuti,extend_leave
tampilkan tempat saya bekerja,ask_location
lokasi perusahaan saya dong,ask_location
tampilkan lokasi saya bekerja,ask_location
detail dari lokasi kerja gw,ask_location
mau tau lokasi kerja saya,ask_location
lokasi saya bekerja dimana ya?,ask_location
penempatan saya dimana?,ask_location
dimana lokasi kerja saya?,ask_location
lokasi kerja,ask_location
lokasi kantor,ask_location
tampilkan hasil selanjutnya,balance_next
tampilkan halaman selanjutnya,balance_next
berikutnya,balance_next
baca hasil berikutnya,balance_next
tampilkan yang berikutnya,balance_next
maju,balance_next
ganti ke yang berikutnya,balance_next
halaman berikutnya,balance_next
next,balance_next
buka halaman berikutnya,balance_next
hasil berikutnya,balance_next
20 menit lagi ingetin ya,snooze_notification
snooze 4 min,snooze_notification
1 menit lagi aja ingetinnya,snooze_notification
tunggu sebentar,snooze_notification
bentar lagi ya,snooze_notification
remind me in 7 menit,snooze_notification
9 menit lagi ingetinnya ya,snooze_notification
1 jam lagi dong,snooze_notification
5 menit lagi deh,snooze_notification
ingetin 10 menit lagi,snooze_notification
sebentar lagi ya,snooze_notification
snooze,snooze_notification
tidak,approve_notification_ask_confirmation
ya,approve_notification_ask_confirmation
ya,reject_notification_ask_confirmation
tidak,reject_notification_ask_confirmation
kurang attachment,reject_notification_ask_reason
alasannya kurang jelas,reject_notification_ask_reason
berapa no npwp saya?,ask_npwp
nomor npwp,ask_npwp
Tolong tanya nomor NPWP saya berapa ya?,ask_npwp
Nomor NPWP saya apa yah?,ask_npwp
Sebutkan nomor NPWP ya,ask_npwp
nomor npwp saya berapa ya?,ask_npwp
Mau tahu nomor NPWP saya,ask_npwp
Mau tahu nomor NPWP aku,ask_npwp
berapa nomor npwp saya?,ask_npwp
Nomor NPWP gw berapa?,ask_npwp
check npwp,ask_npwp
cek npwp,ask_npwp
show npwp,ask_npwp
tampilkan npwp,ask_npwp
npwp,ask_npwp
nomor npwp saya?,ask_npwp
Boleh tau nomor NPWP saya?,ask_npwp
berapa sih no npwp aku?,ask_npwp
tampilkan kartu npwp saya,ask_npwp
kartu npwp,ask_npwp
no npwp,ask_npwp
nomor kartu npwp gw berapa ya?,ask_npwp
mau tau npwp gw dong,ask_npwp
teknik perhitungan lembur,ask_overtime_calculation_method
teknik perhitungan overtime,ask_overtime_calculation_method
bagaimana cara menghitung lembur saya?,ask_overtime_calculation_method
cara perhitungan lembur,ask_overtime_calculation_method
acuan perhitungan lembur saya seperti apa,ask_overtime_calculation_method
overtime calculation method,ask_overtime_calculation_method
Acuan perhitungan lembur karyawan?,ask_overtime_calculation_method
ya,approve_overtime_notification_ask_confirmation
tidak,approve_overtime_notification_ask_confirmation
berbayar,approve_overtime_notification_ask_paid
tidak berbayar,approve_overtime_notification_ask_paid
yang nomor 99 deh,approve_overtime_notification_ask_template_number
template 99,approve_overtime_notification_ask_template_number
saya pilih template nomor 99,approve_overtime_notification_ask_template_number
sembilan,approve_overtime_notification_ask_template_number
nomor 99,approve_overtime_notification_ask_template_number
99,approve_overtime_notification_ask_template_number
cut off harian,ask_payroll_cutoff_date
tanggal berapa sih cut off?,ask_payroll_cutoff_date
kapan tanggasl cutoff gaji harian?,ask_payroll_cutoff_date
kapan cut off komponen gaji bulanan?,ask_payroll_cutoff_date
kapan tanggal cut off komponen gaji harian?,ask_payroll_cutoff_date
tanggal berapa cut off gaji bulanan?,ask_payroll_cutoff_date
kapan tanggal cut off harian sih?,ask_payroll_cutoff_date
kapan tanggal cutoff bulanan?,ask_payroll_cutoff_date
tanggal cutoff bulanan,ask_payroll_cutoff_date
berapa sih tanggal cutoff?,ask_payroll_cutoff_date
cutoff,ask_payroll_cutoff_date
cut off,ask_payroll_cutoff_date
tanggal cut off,ask_payroll_cutoff_date
tanggal cutoff,ask_payroll_cutoff_date
daily,ask_payroll_cutoff_date_select_type
monthly,ask_payroll_cutoff_date_select_type
harian,ask_payroll_cutoff_date_select_type
bulanan,ask_payroll_cutoff_date_select_type
download gaji,download_payslip
payroll,download_payslip
payslip,download_payslip
gaji saya berapa,download_payslip
lihat gaji dong,download_payslip
gaji saya,download_payslip
mau tahu slip gaji saya,download_payslip
Download slip gaji,download_payslip
Unduh slip gaji,download_payslip
siapa gua,ask_personal_detail
Personal details,ask_personal_detail
bisa beritahu detail diri gw?,ask_personal_detail
detail saya,ask_personal_detail
saya warga negara mana?,ask_personal_detail
saya warga negara apa?,ask_personal_detail
apa status pernikahan saya?,ask_personal_detail
nomor kartu keluarga aku berapa?,ask_personal_detail
siapa aku?,ask_personal_detail
aku lahir dimana?,ask_personal_detail
saya lahir dimana?,ask_personal_detail
agamaku apa ya?,ask_personal_detail
agamaku apa?,ask_personal_detail
siapa saya?,ask_personal_detail
data diri aku dong,ask_personal_detail
saya siapa ya?,ask_personal_detail
jadi siapa saya?,ask_personal_detail
nama saya siapa?,ask_personal_detail
tempat kelahiran saya dimana?,ask_personal_detail
jenis kelamin saya apa?,ask_personal_detail
data diri saya,ask_personal_detail
previous,balance_previous
prev,balance_previous
kembali ke halaman sebelumnya,balance_previous
sebelumnya,balance_previous
kembali,balance_previous
balik lagi,balance_previous
baca hasil sebelumnya,balance_previous
hasil sebelumnya,balance_previous
halaman sebelumnya,balance_previous
buka hasil sebelumnya,balance_previous
kembali ke sebelumnya,balance_previous
buka halaman sebelumnya,balance_previous
time traking,disable_push_notification
time tracing,disable_push_notification
time out,disable_push_notification
time in,disable_push_notification
time tracking,disable_push_notification
persetujuan,disable_push_notification
rekam waktu,disable_push_notification
turn off time tracking,disable_push_notification
time tracker off,disable_push_notification
approval off,disable_push_notification
matikan persetujuan,disable_push_notification
matikan approval,disable_push_notification
matiin pengingat persetujuan,disable_push_notification
matikan pengingat approval,disable_push_notification
matikan notifikasi approval,disable_push_notification
matikan reminder approval,disable_push_notification
matikan notifikasi persetujuan,disable_push_notification
matikan pengingat persetujuan,disable_push_notification
disable,disable_push_notification
disable reminder,disable_push_notification
matiin reminder,disable_push_notification
matiin pengingat,disable_push_notification
turn off notifikasi,disable_push_notification
turn off reminder,disable_push_notification
turn off notification,disable_push_notification
matikan,disable_push_notification
matiin,disable_push_notification
matikan reminder,disable_push_notification
matikan pengingat,disable_push_notification
mau matiin pengingat persetujuan dong,disable_push_notification
mau matiin notifikasi persetujuan dong,disable_push_notification
matikan pengingat rekam waktu,disable_push_notification
matikan notifikasi rekam waktu,disable_push_notification
stop notifikasi approval,disable_push_notification
stop notifikasi,disable_push_notification
stop notif,disable_push_notification
matiin aja notifikasinya,disable_push_notification
mau matiin notifikasi dong,disable_push_notification
matiin notifikasi,disable_push_notification
Matikan notifikasi,disable_push_notification
time tracker on,enable_push_notification
turn on reminder time tracking,enable_push_notification
reminder time tracking,enable_push_notification
nyalakan pengingat rekam waktu,enable_push_notification
nyalakan approval,enable_push_notification
nyalakan persetujuan,enable_push_notification
nyalain persetujuan,enable_push_notification
approval on,enable_push_notification
turn on notifikasi,enable_push_notification
nyalakan pengingat persetujuan,enable_push_notification
nyalakan reminder persetujuan,enable_push_notification
ingetin,enable_push_notification
ingatkan,enable_push_notification
notify me,enable_push_notification
remind me,enable_push_notification
turn on notification,enable_push_notification
turn on,enable_push_notification
nyalain,enable_push_notification
enable reminder,enable_push_notification
nyalain reminder,enable_push_notification
nyalain pengingat,enable_push_notification
nyalakan reminder,enable_push_notification
Nyalakan notifikasi,enable_push_notification
nyalakan pengingat,enable_push_notification
mau nyalain pengingat persetujuan dong,enable_push_notification
mau nyalain notifikasi persetujuan dong,enable_push_notification
nyalakan notifikasi rekam waktu,enable_push_notification
nyalain notifikasi approval,enable_push_notification
nyalain lagi notifnya,enable_push_notification
mau dapat notifikasi dong,enable_push_notification
nyalain notif,enable_push_notification
hidupkan notifikasi,enable_push_notification
nyalain notifikasi,enable_push_notification
time tracking,disable_push_notification_ask_type
approval,disable_push_notification_ask_type
time tracking,enable_push_notification_ask_type
approval,enable_push_notification_ask_type
empat puluh tiga ribu aja,approve_reimbursement_claim_notification_ask_amount
23122322,approve_reimbursement_claim_notification_ask_amount
sejumlah 340 ribu ya,approve_reimbursement_claim_notification_ask_amount
15000 aja,approve_reimbursement_claim_notification_ask_amount
20 juta,approve_reimbursement_claim_notification_ask_amount
tidak,approve_reimbursement_claim_notification_ask_confirmation
ya,approve_reimbursement_claim_notification_ask_confirmation
usia pensiun berapa ya?,ask_retirement_age
berapa batas usia pensiun?,ask_retirement_age
berapa ya usia pensiun?,ask_retirement_age
mau tau usia pensiun dong,ask_retirement_age
usia pensiun,ask_retirement_age
retirement age,ask_retirement_age
kalau pensiun itu usia berapa?,ask_retirement_age
berapa sih usia pensiun?,ask_retirement_age
Bagaimana jadwal kerja saya untuk hari kerja?,ask_shift
Bu jadwal kerja saya itu kapan saja?,ask_shift
jadwal kerja saya,ask_shift
"Untuk karyawan seperti saya, jadwal kerja sesuai aturan dari perusahaan bagaimana ya?",ask_shift
bagaimana jadwal kerja saya,ask_shift
Bagaimana jadwal kerjanya?,ask_shift
liat jadwal kerja saya yang terdaftar,ask_shift
Minta tolong share jadwal kerja saya dong. Terima kasih.,ask_shift
Jadwal kerja nya gimana ya?,ask_shift
Mba emang jadwal kerja saya nya kapan aja?,ask_shift
bolehkah saya tau jadwal kerja saya?,ask_shift
Jadwal kerja di kantor seperti apa?,ask_shift
Saya ingin tahu tentang jadwal kerja saya,ask_shift
Apakah saya memiliki shift kerja minggu ini?,ask_shift
bagaimana jadwal kerja saya minggu ini,ask_shift
jadwal kerja saya kapan,ask_shift
Berapa jam jangka waktu saya bekerja . Masuk dan pulang jam berapa,ask_shift
Saya mau nanya terkait jadwal kerja. Jadwal kerjanya seperti apa ya?,ask_shift
Jadwal kerjaku dari jam berapa ya harusnya?,ask_shift
Mau konfirmasi jadwal kerja saya dong.,ask_shift
apa shift saya,ask_shift
Jadwal kerja saya?,ask_shift
shift minggu ini,ask_shift
shift saya,ask_shift
shift saya minggu ini,ask_shift
jadwal kerja dong,ask_shift
jadwal kerja saya minggu depan,ask_shift
jadwal kerja minggu ini,ask_shift
status pengajuan,approval_status
cek pengajuan absen,approval_status
cutiku sudah di approve?,approval_status
cutiku sudah approve belum?,approval_status
approval status tanggal 24 april 2019,approval_status
cek absen yang disetujui,approval_status
approval status pending,approval_status
daftar approved cuti,approval_status
mau liat list reimbursement dong,approval_status
list overtime,approval_status
history absen,approval_status
history cuti,approval_status
daftar reimbursement,approval_status
daftar cuti,approval_status
approval status,approval_status
lihat daftar reimbursement,approval_status
cek cuti,approval_status
cuti saya sudah disetujui?,approval_status
lembur saya sudah disetujui belum ya?,approval_status
mau lihat cuti,approval_status
mau liat cuti,approval_status
status batal cuti,approval_status
lihat status overtime,approval_status
status reimbursement dong,approval_status
gw mau lihat status pembatalan cuti ya,approval_status
"lihat status absent 1 juni 2018, 2 juni 2018, dan 4 juni 2018",approval_status
status leave cancellation,approval_status
status klaim reimbursement saya,approval_status
gimana status cancel cuti?,approval_status
status cuti saya pada tanggal 12 maret 2018 apa ya?,approval_status
status cuti 1 april 2018 sampai besok,approval_status
"status absen tanggal 1 juni 2018, 3 juni 2018, dan 4 juni 2018",approval_status
lihat status pembatalan cuti,approval_status
status cuti tanggal 15 aja deh,approval_status
lihat status cuti gw dong,approval_status
